,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
450,Colusa,4/6/2020,0,0,0,0,6,0
451,Modoc,4/6/2020,0,0,0,0,0,0
452,San Mateo,4/6/2020,68,20,0,5,36,88
453,Fresno,4/6/2020,18,81,0,20,45,99
454,Plumas,4/6/2020,0,0,0,0,0,0
455,San Benito,4/6/2020,3,3,0,0,0,6
456,Santa Barbara,4/6/2020,34,26,0,5,54,60
457,Solano,4/6/2020,15,21,0,6,28,36
458,Riverside,4/6/2020,129,193,0,65,152,322
459,San Luis Obispo,4/6/2020,2,3,0,2,42,5
460,Tulare,4/6/2020,12,24,0,3,16,36
461,Del Norte,4/6/2020,0,3,0,0,0,3
462,Tuolumne,4/6/2020,0,0,0,0,0,0
463,Merced,4/6/2020,4,2,0,2,4,6
464,Stanislaus,4/6/2020,28,28,0,4,37,56
465,Los Angeles,4/6/2020,1166,1070,0,175,587,2236
466,Ventura,4/6/2020,22,106,0,20,32,128
467,Calaveras,4/6/2020,0,0,0,0,6,0
468,Kings,4/6/2020,3,3,0,0,3,6
469,Sutter,4/6/2020,0,0,0,0,0,0
470,Santa Cruz,4/6/2020,5,9,0,2,5,14
471,Shasta,4/6/2020,6,3,0,2,28,9
472,Sonoma,4/6/2020,6,18,0,4,20,24
473,Imperial,4/6/2020,9,14,0,2,3,23
474,Monterey,4/6/2020,16,15,0,1,18,31
475,Amador,4/6/2020,0,0,0,0,2,0
476,Lake,4/6/2020,0,8,0,2,1,8
477,Napa,4/6/2020,0,7,0,0,15,7
478,Sacramento,4/6/2020,77,78,0,19,75,155
479,Butte,4/6/2020,1,15,0,5,9,16
480,San Francisco,4/6/2020,80,71,0,9,71,151
481,Siskiyou,4/6/2020,0,0,0,0,5,0
482,Mendocino,4/6/2020,0,2,0,2,10,2
483,Lassen,4/6/2020,0,0,0,0,0,0
484,Mono,4/6/2020,20,2,0,0,2,22
485,Contra Costa,4/6/2020,30,28,0,11,78,58
486,San Bernardino,4/6/2020,148,185,0,43,102,333
487,Humboldt,4/6/2020,3,12,0,3,2,15
488,Santa Clara,4/6/2020,181,49,0,10,100,230
489,Placer,4/6/2020,20,12,0,1,24,32
490,Madera,4/6/2020,0,2,0,1,8,2
491,Trinity,4/6/2020,0,0,0,0,0,0
492,Tehama,4/6/2020,0,0,0,0,4,0
493,El Dorado,4/6/2020,16,1,0,0,10,17
494,Kern,4/6/2020,24,36,0,5,39,60
495,San Diego,4/6/2020,187,224,0,25,270,411
496,Mariposa,4/6/2020,0,3,0,0,0,3
497,Marin,4/6/2020,8,8,0,4,13,16
498,Glenn,4/6/2020,0,0,0,0,0,0
499,Orange,4/6/2020,145,171,0,33,134,316
500,Nevada,4/6/2020,1,5,0,2,4,6
501,San Luis Obispo,4/7/2020,2,5,0,4,30,7
502,Sacramento,4/7/2020,74,91,0,18,72,165
503,Santa Clara,4/7/2020,187,47,0,7,105,234
504,Mono,4/7/2020,20,2,0,0,2,22
505,Imperial,4/7/2020,9,14,0,2,3,23
506,Ventura,4/7/2020,22,68,0,20,31,90
507,Calaveras,4/7/2020,0,1,0,0,8,1
508,Madera,4/7/2020,0,3,0,1,7,3
509,Inyo,4/7/2020,9,121,0,0,3,130
510,Trinity,4/7/2020,0,0,0,0,0,0
511,Colusa,4/7/2020,0,0,0,0,6,0
512,Plumas,4/7/2020,0,1,0,0,0,1
513,Sutter,4/7/2020,0,0,0,0,0,0
