county,date,deaths,cumulative_deaths,reported_deaths,cumulative_reported_deaths
Shasta,3/9/2021,0,100,0,155
Sierra,3/9/2021,0,0,0,0
Siskiyou,3/9/2021,0,5,0,5
Solano,3/9/2021,0,171,0,169
Sonoma,3/9/2021,0,291,0,284
Stanislaus,3/9/2021,0,683,13,703
Sutter,3/9/2021,0,102,1,101
Tehama,3/9/2021,0,34,0,33
Trinity,3/9/2021,0,3,0,3
Tulare,3/9/2021,0,803,1,792
Tuolumne,3/9/2021,0,57,0,56
Ventura,3/9/2021,0,916,11,863
Yolo,3/9/2021,0,190,0,189
Yuba,3/9/2021,0,42,0,42
Alameda,3/8/2021,0,1177,-3,1142
Alpine,3/8/2021,0,0,0,0
Amador,3/8/2021,0,44,0,42
Butte,3/8/2021,0,184,0,185
Calaveras,3/8/2021,0,49,0,48
California,3/8/2021,1,55567,50,53878
Colusa,3/8/2021,0,12,0,11
Contra Costa,3/8/2021,0,735,0,719
Del Norte,3/8/2021,0,6,0,5
El Dorado,3/8/2021,0,105,0,97
Fresno,3/8/2021,0,1498,0,1442
Glenn,3/8/2021,0,17,0,15
Humboldt,3/8/2021,0,33,0,31
Imperial,3/8/2021,0,689,5,663
Inyo,3/8/2021,0,35,0,35
Kern,3/8/2021,0,1144,1,1087
Kings,3/8/2021,0,233,2,226
Lake,3/8/2021,0,43,0,42
Lassen,3/8/2021,0,1,0,1
Los Angeles,3/8/2021,0,22522,11,21868
Madera,3/8/2021,0,214,0,211
Marin,3/8/2021,0,218,0,214
Mariposa,3/8/2021,0,5,0,5
Mendocino,3/8/2021,0,44,0,42
Merced,3/8/2021,0,407,-1,398
Modoc,3/8/2021,0,3,0,3
Mono,3/8/2021,0,3,0,3
Monterey,3/8/2021,0,333,0,328
Napa,3/8/2021,0,75,0,75
Nevada,3/8/2021,0,67,0,66
Orange,3/8/2021,0,4479,25,4243
Placer,3/8/2021,0,240,0,239
Plumas,3/8/2021,0,4,0,4
Riverside,3/8/2021,0,3893,4,3783
Sacramento,3/8/2021,0,1466,1,1438
San Benito,3/8/2021,0,61,0,61
San Bernardino,3/8/2021,1,4031,1,3811
San Diego,3/8/2021,0,3462,0,3390
San Francisco,3/8/2021,0,456,1,446
San Joaquin,3/8/2021,0,1163,0,1139
San Luis Obispo,3/8/2021,0,248,0,245
San Mateo,3/8/2021,0,344,6,335
Santa Barbara,3/8/2021,0,433,2,427
Santa Clara,3/8/2021,0,1795,4,1756
Santa Cruz,3/8/2021,0,199,-1,188
Shasta,3/8/2021,0,100,-1,155
Sierra,3/8/2021,0,0,0,0
Siskiyou,3/8/2021,0,5,0,5
Solano,3/8/2021,0,171,0,169
Sonoma,3/8/2021,0,291,0,284
Stanislaus,3/8/2021,0,683,-9,690
Sutter,3/8/2021,0,102,0,100
Tehama,3/8/2021,0,34,0,33
Trinity,3/8/2021,0,3,0,3
Tulare,3/8/2021,0,803,1,791
Tuolumne,3/8/2021,0,57,0,56
Ventura,3/8/2021,0,916,1,852
Yolo,3/8/2021,0,190,0,189
Yuba,3/8/2021,0,42,0,42
Alameda,3/7/2021,0,1177,2,1145
Alpine,3/7/2021,0,0,0,0
Amador,3/7/2021,0,44,0,42
Butte,3/7/2021,0,184,0,185
Calaveras,3/7/2021,0,49,0,48
California,3/7/2021,3,55566,106,53828
Colusa,3/7/2021,0,12,0,11
Contra Costa,3/7/2021,0,735,0,719
Del Norte,3/7/2021,0,6,0,5
El Dorado,3/7/2021,0,105,0,97
Fresno,3/7/2021,0,1498,2,1442
Glenn,3/7/2021,0,17,0,15
Humboldt,3/7/2021,0,33,0,31
Imperial,3/7/2021,0,689,0,658
Inyo,3/7/2021,0,35,0,35
Kern,3/7/2021,0,1144,4,1086
Kings,3/7/2021,0,233,0,224
Lake,3/7/2021,0,43,0,42
Lassen,3/7/2021,0,1,0,1
Los Angeles,3/7/2021,1,22522,14,21857
Madera,3/7/2021,0,214,0,211
Marin,3/7/2021,0,218,1,214
Mariposa,3/7/2021,0,5,0,5
Mendocino,3/7/2021,0,44,0,42
Merced,3/7/2021,1,407,0,399
Modoc,3/7/2021,0,3,0,3
Mono,3/7/2021,0,3,0,3
Monterey,3/7/2021,1,333,1,328
Napa,3/7/2021,0,75,0,75
Nevada,3/7/2021,0,67,0,66
Orange,3/7/2021,0,4479,53,4218
Placer,3/7/2021,0,240,0,239
Plumas,3/7/2021,0,4,0,4
Riverside,3/7/2021,0,3893,-2,3779
Sacramento,3/7/2021,0,1466,1,1437
San Benito,3/7/2021,0,61,0,61
San Bernardino,3/7/2021,0,4030,19,3810
San Diego,3/7/2021,0,3462,5,3390
San Francisco,3/7/2021,0,456,10,445
San Joaquin,3/7/2021,0,1163,1,1139
San Luis Obispo,3/7/2021,0,248,0,245
San Mateo,3/7/2021,0,344,0,329
Santa Barbara,3/7/2021,0,433,1,425
Santa Clara,3/7/2021,0,1795,3,1752
Santa Cruz,3/7/2021,0,199,1,189
Shasta,3/7/2021,0,100,-2,156
Sierra,3/7/2021,0,0,0,0
Siskiyou,3/7/2021,0,5,0,5
Solano,3/7/2021,0,171,0,169
Sonoma,3/7/2021,0,291,0,284
Stanislaus,3/7/2021,0,683,-12,699
Sutter,3/7/2021,0,102,0,100
Tehama,3/7/2021,0,34,0,33
Trinity,3/7/2021,0,3,0,3
Tulare,3/7/2021,0,803,1,790
Tuolumne,3/7/2021,0,57,0,56
Ventura,3/7/2021,0,916,3,851
Yolo,3/7/2021,0,190,0,189
Yuba,3/7/2021,0,42,0,42
Alameda,3/6/2021,0,1177,2,1143
Alpine,3/6/2021,0,0,0,0
Amador,3/6/2021,0,44,0,42
Butte,3/6/2021,0,184,0,185
Calaveras,3/6/2021,0,49,0,48
California,3/6/2021,0,55563,258,53722
Colusa,3/6/2021,0,12,0,11
Contra Costa,3/6/2021,0,735,8,719
Del Norte,3/6/2021,0,6,0,5
El Dorado,3/6/2021,0,105,0,97
Fresno,3/6/2021,0,1498,8,1440
Glenn,3/6/2021,0,17,0,15
Humboldt,3/6/2021,0,33,0,31
Imperial,3/6/2021,0,689,7,658
Inyo,3/6/2021,0,35,0,35
Kern,3/6/2021,0,1144,6,1082
Kings,3/6/2021,0,233,0,224
Lake,3/6/2021,0,43,0,42
Lassen,3/6/2021,0,1,0,1
Los Angeles,3/6/2021,0,22521,98,21843
Madera,3/6/2021,0,214,0,211
Marin,3/6/2021,0,218,-2,213
Mariposa,3/6/2021,0,5,1,5
Mendocino,3/6/2021,0,44,0,42
Merced,3/6/2021,0,406,0,399
Modoc,3/6/2021,0,3,0,3
Mono,3/6/2021,0,3,0,3
Monterey,3/6/2021,0,332,2,327
Napa,3/6/2021,0,75,0,75
Nevada,3/6/2021,0,67,0,66
Orange,3/6/2021,0,4479,57,4165
Placer,3/6/2021,0,240,0,239
Plumas,3/6/2021,0,4,0,4
Riverside,3/6/2021,0,3893,0,3781
Sacramento,3/6/2021,0,1466,6,1436
San Benito,3/6/2021,0,61,0,61
San Bernardino,3/6/2021,0,4030,17,3791
San Diego,3/6/2021,0,3462,14,3385
San Francisco,3/6/2021,0,456,5,435
San Joaquin,3/6/2021,0,1163,5,1138
San Luis Obispo,3/6/2021,0,248,1,245
San Mateo,3/6/2021,0,344,3,329
Santa Barbara,3/6/2021,0,433,0,424
Santa Clara,3/6/2021,0,1795,4,1749
Santa Cruz,3/6/2021,0,199,0,188
Shasta,3/6/2021,0,100,10,158
Sierra,3/6/2021,0,0,0,0
Siskiyou,3/6/2021,0,5,0,5
Solano,3/6/2021,0,171,1,169
Sonoma,3/6/2021,0,291,5,284
Stanislaus,3/6/2021,0,683,-10,711
Sutter,3/6/2021,0,102,0,100
Tehama,3/6/2021,0,34,0,33
Trinity,3/6/2021,0,3,0,3
Tulare,3/6/2021,0,803,0,789
Tuolumne,3/6/2021,0,57,0,56
Ventura,3/6/2021,0,916,9,848
Yolo,3/6/2021,0,190,1,189
Yuba,3/6/2021,0,42,0,42
Alameda,3/5/2021,0,1177,5,1141
Alpine,3/5/2021,0,0,0,0
Amador,3/5/2021,0,44,0,42
Butte,3/5/2021,0,184,0,185
Calaveras,3/5/2021,0,49,0,48
California,3/5/2021,1,55563,270,53464
Colusa,3/5/2021,0,12,0,11
Contra Costa,3/5/2021,0,735,3,711
Del Norte,3/5/2021,0,6,0,5
El Dorado,3/5/2021,0,105,0,97
Fresno,3/5/2021,0,1498,10,1432
Glenn,3/5/2021,0,17,0,15
Humboldt,3/5/2021,0,33,0,31
Imperial,3/5/2021,0,689,5,651
Inyo,3/5/2021,0,35,0,35
