,county,date,all_hospital_beds,icu_available_beds
635,San Mateo,2020-04-09,0,39
636,Orange,2020-04-09,0,206
637,San Diego,2020-04-09,0,163
638,Santa Cruz,2020-04-09,0,7
639,Riverside,2020-04-09,0,133
640,San Joaquin,2020-04-09,0,16
641,Madera,2020-04-09,0,5
642,San Benito,2020-04-09,0,1
643,Modoc,2020-04-09,0,0
644,Glenn,2020-04-09,0,0
645,Stanislaus,2020-04-09,0,45
646,Imperial,2020-04-09,0,1
647,Merced,2020-04-09,0,5
648,Ventura,2020-04-09,0,29
649,Santa Clara,2020-04-09,0,87
650,San Bernardino,2020-04-09,0,143
651,Yuba,2020-04-09,0,6
652,Del Norte,2020-04-09,0,5
653,Marin,2020-04-09,0,21
654,Lake,2020-04-09,0,2
655,Tulare,2020-04-09,0,19
656,Kings,2020-04-09,0,2
657,Sacramento,2020-04-09,0,63
658,Lassen,2020-04-09,0,0
659,El Dorado,2020-04-09,0,10
660,Placer,2020-04-09,0,16
661,Amador,2020-04-09,0,3
662,Tehama,2020-04-09,0,5
663,Santa Barbara,2020-04-09,0,45
664,San Francisco,2020-04-09,0,45
665,Inyo,2020-04-09,0,3
666,Alameda,2020-04-09,0,107
667,Calaveras,2020-04-09,0,11
668,Siskiyou,2020-04-09,0,5
669,Solano,2020-04-10,0,31
670,Sutter,2020-04-10,0,0
671,Modoc,2020-04-10,0,0
672,Plumas,2020-04-10,0,0
673,Colusa,2020-04-10,0,6
674,Imperial,2020-04-10,0,1
675,San Joaquin,2020-04-10,0,20
676,Los Angeles,2020-04-10,0,663
677,Del Norte,2020-04-10,0,4
678,Sonoma,2020-04-10,0,32
679,San Luis Obispo,2020-04-10,0,24
680,Mendocino,2020-04-10,0,5
681,Lake,2020-04-10,0,2
682,Orange,2020-04-10,0,187
683,Humboldt,2020-04-10,0,0
684,Santa Cruz,2020-04-10,0,4
685,Santa Clara,2020-04-10,0,99
686,Yolo,2020-04-10,0,7
687,Fresno,2020-04-10,0,57
688,Contra Costa,2020-04-10,0,75
689,Monterey,2020-04-10,0,25
690,Trinity,2020-04-10,0,0
691,Calaveras,2020-04-10,0,11
692,El Dorado,2020-04-10,0,10
693,Marin,2020-04-10,0,17
694,Nevada,2020-04-10,0,6
695,San Mateo,2020-04-10,0,41
696,Kern,2020-04-10,0,45
697,Yuba,2020-04-10,0,7
698,Napa,2020-04-10,0,7
699,Tulare,2020-04-10,0,16
700,Alameda,2020-04-10,0,128
701,Mono,2020-04-10,0,2
702,Riverside,2020-04-10,0,140
703,Siskiyou,2020-04-10,0,4
704,Kings,2020-04-10,0,1
705,Tehama,2020-04-10,0,8
706,San Benito,2020-04-10,0,1
707,Inyo,2020-04-10,0,3
708,San Bernardino,2020-04-10,0,134
709,Ventura,2020-04-10,0,30
710,Merced,2020-04-10,0,4
711,Shasta,2020-04-10,0,12
712,Amador,2020-04-10,0,4
713,Tuolumne,2020-04-10,0,0
714,Lassen,2020-04-10,0,0
715,Butte,2020-04-10,0,5
716,Stanislaus,2020-04-10,0,44
717,Glenn,2020-04-10,0,0
718,Madera,2020-04-10,0,6
719,Placer,2020-04-10,0,9
720,San Francisco,2020-04-10,0,125
721,Mariposa,2020-04-10,0,0
722,Sacramento,2020-04-10,0,69
723,Santa Barbara,2020-04-10,0,43
724,San Diego,2020-04-10,0,153
725,Merced,2020-04-11,0,3
726,Mono,2020-04-11,0,2
727,Modoc,2020-04-11,0,0
728,Placer,2020-04-11,0,13
729,Tehama,2020-04-11,0,7
730,Mariposa,2020-04-11,0,0
731,Sonoma,2020-04-11,0,30
732,Siskiyou,2020-04-11,0,4
733,Amador,2020-04-11,0,4
734,Shasta,2020-04-11,0,12
735,Alameda,2020-04-11,0,121
736,San Bernardino,2020-04-11,0,117
737,Calaveras,2020-04-11,0,11
738,Plumas,2020-04-11,0,0
739,Sacramento,2020-04-11,0,80
740,Glenn,2020-04-11,0,0
741,Nevada,2020-04-11,0,5
742,Colusa,2020-04-11,0,6
743,Stanislaus,2020-04-11,0,44
744,Kings,2020-04-11,0,1
745,Tulare,2020-04-11,0,19
746,Santa Clara,2020-04-11,0,106
747,San Mateo,2020-04-11,0,42
748,Imperial,2020-04-11,0,1
749,Del Norte,2020-04-11,0,5
750,Yolo,2020-04-11,0,7
751,Trinity,2020-04-11,0,0
752,Butte,2020-04-11,0,5
753,Marin,2020-04-11,0,14
