county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
Nevada,3/7/2021,6,4093,8,4052
Orange,3/7/2021,65,247075,137,246771
Placer,3/7/2021,19,20180,40,20070
Plumas,3/7/2021,0,639,1,635
Riverside,3/7/2021,83,280730,154,280379
Sacramento,3/7/2021,66,94792,181,94513
San Benito,3/7/2021,5,5806,2,5795
San Bernardino,3/7/2021,59,283435,123,282860
San Diego,3/7/2021,149,265003,187,262965
San Francisco,3/7/2021,25,34681,34,34594
San Joaquin,3/7/2021,43,66323,90,66252
San Luis Obispo,3/7/2021,9,19696,22,19614
San Mateo,3/7/2021,27,39562,52,39436
Santa Barbara,3/7/2021,28,32400,42,32218
Santa Clara,3/7/2021,83,112068,175,111745
Santa Cruz,3/7/2021,10,14837,14,14715
Shasta,3/7/2021,11,10983,7,11083
Sierra,3/7/2021,0,48,0,48
Siskiyou,3/7/2021,2,1466,3,1435
Solano,3/7/2021,15,30157,27,30027
Sonoma,3/7/2021,22,28644,49,28533
Stanislaus,3/7/2021,48,51056,92,50783
Sutter,3/7/2021,7,8923,13,8900
Tehama,3/7/2021,1,4625,4,4614
Trinity,3/7/2021,0,305,0,302
Tulare,3/7/2021,19,47680,54,47569
Tuolumne,3/7/2021,3,3930,2,3922
Ventura,3/7/2021,55,78264,48,78487
Yolo,3/7/2021,6,13076,37,12988
Yuba,3/7/2021,7,5558,12,5516
Alameda,3/6/2021,72,81675,95,81310
Alpine,3/6/2021,0,81,0,78
Amador,3/6/2021,1,3498,3,3487
Butte,3/6/2021,5,11098,15,11065
Calaveras,3/6/2021,2,1932,2,1904
California,3/6/2021,1894,3517605,3816,3501394
Colusa,3/6/2021,0,1878,0,1874
Contra Costa,3/6/2021,66,63402,154,63040
Del Norte,3/6/2021,1,1018,5,1000
El Dorado,3/6/2021,7,9203,16,9166
Fresno,3/6/2021,95,96995,182,96366
Glenn,3/6/2021,5,2257,0,2241
Humboldt,3/6/2021,6,3287,26,3260
Imperial,3/6/2021,4,27092,39,27009
Inyo,3/6/2021,2,1329,3,1312
Kern,3/6/2021,30,92963,83,92684
Kings,3/6/2021,27,22175,31,22094
Lake,3/6/2021,2,3208,4,3189
Lassen,3/6/2021,0,5124,2,5119
Los Angeles,3/6/2021,434,1169609,1057,1161745
Madera,3/6/2021,8,15738,22,15646
Marin,3/6/2021,8,13337,14,13289
Mariposa,3/6/2021,0,376,1,376
Mendocino,3/6/2021,8,3591,2,3579
Merced,3/6/2021,32,28945,37,28771
Modoc,3/6/2021,0,339,1,338
Mono,3/6/2021,0,1200,1,1198
Monterey,3/6/2021,11,41906,36,41838
Napa,3/6/2021,6,9164,20,9129
Nevada,3/6/2021,4,4087,11,4044
Orange,3/6/2021,82,247010,145,246634
Placer,3/6/2021,25,20161,57,20030
