county,date,total_doses
Del Norte,3/6/2021,425
El Dorado,3/6/2021,521
Fresno,3/6/2021,5438
Glenn,3/6/2021,24
Humboldt,3/6/2021,1174
Imperial,3/6/2021,642
Inyo,3/6/2021,29
Kern,3/6/2021,3801
Kings,3/6/2021,442
Lake,3/6/2021,28
Lassen,3/6/2021,45
Los Angeles,3/6/2021,52638
Madera,3/6/2021,618
Marin,3/6/2021,2242
Mariposa,3/6/2021,5
Mendocino,3/6/2021,224
Merced,3/6/2021,820
Modoc,3/6/2021,8
Mono,3/6/2021,319
Monterey,3/6/2021,2479
Napa,3/6/2021,497
Nevada,3/6/2021,293
Orange,3/6/2021,16025
Placer,3/6/2021,2063
Plumas,3/6/2021,10
Riverside,3/6/2021,6711
Sacramento,3/6/2021,5390
San Benito,3/6/2021,147
San Bernardino,3/6/2021,7100
San Diego,3/6/2021,22241
San Francisco,3/6/2021,5909
San Joaquin,3/6/2021,2772
San Luis Obispo,3/6/2021,666
San Mateo,3/6/2021,7142
Santa Barbara,3/6/2021,1870
Santa Clara,3/6/2021,8089
Santa Cruz,3/6/2021,3539
Shasta,3/6/2021,713
Siskiyou,3/6/2021,22
Solano,3/6/2021,3330
Sonoma,3/6/2021,2340
Stanislaus,3/6/2021,3307
Sutter,3/6/2021,535
Tehama,3/6/2021,269
Trinity,3/6/2021,181
Tulare,3/6/2021,2244
Tuolumne,3/6/2021,1024
Ventura,3/6/2021,4802
Yolo,3/6/2021,532
Yuba,3/6/2021,260
Alameda,3/5/2021,13464
Alpine,3/5/2021,29
Amador,3/5/2021,476
Butte,3/5/2021,1253
Calaveras,3/5/2021,442
Colusa,3/5/2021,84
Contra Costa,3/5/2021,9494
Del Norte,3/5/2021,68
El Dorado,3/5/2021,1090
Fresno,3/5/2021,6650
Glenn,3/5/2021,329
Humboldt,3/5/2021,857
Imperial,3/5/2021,2539
Inyo,3/5/2021,149
Kern,3/5/2021,5680
Kings,3/5/2021,845
Lake,3/5/2021,790
Lassen,3/5/2021,44
Los Angeles,3/5/2021,72948
Madera,3/5/2021,1093
Marin,3/5/2021,2478
Mariposa,3/5/2021,32
Mendocino,3/5/2021,165
Merced,3/5/2021,1925
Modoc,3/5/2021,3
Mono,3/5/2021,30
Monterey,3/5/2021,2677
Napa,3/5/2021,1583
Nevada,3/5/2021,680
Orange,3/5/2021,16723
Placer,3/5/2021,2482
Plumas,3/5/2021,370
Riverside,3/5/2021,13804
Sacramento,3/5/2021,7722
San Benito,3/5/2021,404
San Bernardino,3/5/2021,11219
San Diego,3/5/2021,27800
San Francisco,3/5/2021,7569
