,county,date,total_doses
494,Inyo,2021-03-07,6
495,Kern,2021-03-07,1914
496,Kings,2021-03-07,211
497,Lake,2021-03-07,6
498,Lassen,2021-03-07,55
499,Los Angeles,2021-03-07,22741
500,Madera,2021-03-07,127
501,Marin,2021-03-07,1332
502,Mariposa,2021-03-07,1
503,Mendocino,2021-03-07,482
504,Merced,2021-03-07,197
505,Modoc,2021-03-07,6
506,Mono,2021-03-07,1
507,Monterey,2021-03-07,451
508,Napa,2021-03-07,426
509,Nevada,2021-03-07,187
510,Orange,2021-03-07,13588
511,Outside California,2021-03-07,2072
512,Placer,2021-03-07,1203
513,Plumas,2021-03-07,10
514,Riverside,2021-03-07,3478
515,Sacramento,2021-03-07,7208
516,San Benito,2021-03-07,620
517,San Bernardino,2021-03-07,1386
518,San Diego,2021-03-07,17133
519,San Francisco,2021-03-07,4902
520,San Joaquin,2021-03-07,1117
521,San Luis Obispo,2021-03-07,194
522,San Mateo,2021-03-07,3351
523,Santa Barbara,2021-03-07,494
524,Santa Clara,2021-03-07,6124
525,Santa Cruz,2021-03-07,1321
526,Shasta,2021-03-07,76
527,Siskiyou,2021-03-07,10
528,Solano,2021-03-07,2640
529,Sonoma,2021-03-07,1574
530,Stanislaus,2021-03-07,804
531,Sutter,2021-03-07,56
532,Tehama,2021-03-07,5
533,Trinity,2021-03-07,3
534,Tulare,2021-03-07,1002
535,Tuolumne,2021-03-07,29
536,Unknown,2021-03-07,56
537,Ventura,2021-03-07,1483
538,Yolo,2021-03-07,445
539,Yuba,2021-03-07,45
540,Alameda,2021-03-06,11491
541,Amador,2021-03-06,72
542,Butte,2021-03-06,141
543,Calaveras,2021-03-06,81
544,Colusa,2021-03-06,235
545,Contra Costa,2021-03-06,6350
546,Del Norte,2021-03-06,425
547,El Dorado,2021-03-06,521
548,Fresno,2021-03-06,5438
549,Glenn,2021-03-06,24
550,Humboldt,2021-03-06,1174
551,Imperial,2021-03-06,642
552,Inyo,2021-03-06,29
553,Kern,2021-03-06,3801
554,Kings,2021-03-06,442
555,Lake,2021-03-06,28
556,Lassen,2021-03-06,45
557,Los Angeles,2021-03-06,52638
558,Madera,2021-03-06,618
559,Marin,2021-03-06,2242
560,Mariposa,2021-03-06,5
561,Mendocino,2021-03-06,224
562,Merced,2021-03-06,820
563,Modoc,2021-03-06,8
564,Mono,2021-03-06,319
565,Monterey,2021-03-06,2479
566,Napa,2021-03-06,497
567,Nevada,2021-03-06,293
568,Orange,2021-03-06,16025
569,Outside California,2021-03-06,4749
570,Placer,2021-03-06,2063
571,Plumas,2021-03-06,10
572,Riverside,2021-03-06,6711
573,Sacramento,2021-03-06,5390
574,San Benito,2021-03-06,147
575,San Bernardino,2021-03-06,7100
576,San Diego,2021-03-06,22241
577,San Francisco,2021-03-06,5909
578,San Joaquin,2021-03-06,2772
579,San Luis Obispo,2021-03-06,666
580,San Mateo,2021-03-06,7142
581,Santa Barbara,2021-03-06,1870
582,Santa Clara,2021-03-06,8089
583,Santa Cruz,2021-03-06,3539
584,Shasta,2021-03-06,713
585,Siskiyou,2021-03-06,22
586,Solano,2021-03-06,3330
587,Sonoma,2021-03-06,2340
588,Stanislaus,2021-03-06,3307
589,Sutter,2021-03-06,535
590,Tehama,2021-03-06,269
591,Trinity,2021-03-06,181
592,Tulare,2021-03-06,2244
593,Tuolumne,2021-03-06,1024
594,Unknown,2021-03-06,120
595,Ventura,2021-03-06,4802
596,Yolo,2021-03-06,532
597,Yuba,2021-03-06,260
598,Alameda,2021-03-05,13464
599,Alpine,2021-03-05,29
600,Amador,2021-03-05,476
601,Butte,2021-03-05,1253
602,Calaveras,2021-03-05,442
603,Colusa,2021-03-05,84
604,Contra Costa,2021-03-05,9494
605,Del Norte,2021-03-05,68
606,El Dorado,2021-03-05,1090
607,Fresno,2021-03-05,6650
608,Glenn,2021-03-05,329
609,Humboldt,2021-03-05,857
610,Imperial,2021-03-05,2539
611,Inyo,2021-03-05,149
612,Kern,2021-03-05,5680
613,Kings,2021-03-05,845
614,Lake,2021-03-05,790
615,Lassen,2021-03-05,44
616,Los Angeles,2021-03-05,72948
617,Madera,2021-03-05,1093
618,Marin,2021-03-05,2478
619,Mariposa,2021-03-05,32
620,Mendocino,2021-03-05,165
621,Merced,2021-03-05,1925
622,Modoc,2021-03-05,3
623,Mono,2021-03-05,30
624,Monterey,2021-03-05,2677
625,Morgan,2021-03-05,1
626,Napa,2021-03-05,1583
627,Nevada,2021-03-05,680
628,Orange,2021-03-05,16723
629,Outside California,2021-03-05,5562
630,Placer,2021-03-05,2482
631,Plumas,2021-03-05,370
632,Riverside,2021-03-05,13804
633,Sacramento,2021-03-05,7722
634,San Benito,2021-03-05,404
635,San Bernardino,2021-03-05,11219
636,San Diego,2021-03-05,27800
637,San Francisco,2021-03-05,7569
638,San Joaquin,2021-03-05,3989
639,San Luis Obispo,2021-03-05,2067
640,San Mateo,2021-03-05,7934
641,Santa Barbara,2021-03-05,3684
642,Santa Clara,2021-03-05,12995
643,Santa Cruz,2021-03-05,2223
644,Shasta,2021-03-05,899
645,Sierra,2021-03-05,12
646,Siskiyou,2021-03-05,193
647,Solano,2021-03-05,3421
648,Sonoma,2021-03-05,4946
649,Stanislaus,2021-03-05,3785
650,Sutter,2021-03-05,255
651,Tehama,2021-03-05,340
652,Trinity,2021-03-05,282
653,Tulare,2021-03-05,2890
654,Tuolumne,2021-03-05,74
