county,date,total_doses
Amador,2021-03-02,370
Butte,2021-03-02,1362
Calaveras,2021-03-02,232
Colusa,2021-03-02,45
Contra Costa,2021-03-02,8793
Del Norte,2021-03-02,210
El Dorado,2021-03-02,804
Fresno,2021-03-02,7427
Glenn,2021-03-02,31
Humboldt,2021-03-02,232
Imperial,2021-03-02,674
Inyo,2021-03-02,176
Kern,2021-03-02,3752
Kings,2021-03-02,425
Lake,2021-03-02,710
Lassen,2021-03-02,100
Los Angeles,2021-03-02,66355
Madera,2021-03-02,591
Marin,2021-03-02,2267
Mariposa,2021-03-02,6
Mendocino,2021-03-02,62
Merced,2021-03-02,1544
Modoc,2021-03-02,187
Mono,2021-03-02,6
Monterey,2021-03-02,2547
Napa,2021-03-02,1274
Nevada,2021-03-02,648
Orange,2021-03-02,13403
Placer,2021-03-02,2703
Plumas,2021-03-02,8
Riverside,2021-03-02,13465
Sacramento,2021-03-02,8053
San Benito,2021-03-02,237
San Bernardino,2021-03-02,12717
San Diego,2021-03-02,24959
San Francisco,2021-03-02,8225
San Joaquin,2021-03-02,3807
San Luis Obispo,2021-03-02,2721
San Mateo,2021-03-02,5141
Santa Barbara,2021-03-02,2363
Santa Clara,2021-03-02,12075
Santa Cruz,2021-03-02,1427
Shasta,2021-03-02,473
Sierra,2021-03-02,50
Siskiyou,2021-03-02,175
Solano,2021-03-02,1563
Sonoma,2021-03-02,3979
Stanislaus,2021-03-02,2236
Sutter,2021-03-02,312
Tehama,2021-03-02,70
Trinity,2021-03-02,6
Tulare,2021-03-02,2260
Tuolumne,2021-03-02,700
Ventura,2021-03-02,7166
Yolo,2021-03-02,1338
Yuba,2021-03-02,145
Alameda,2021-03-01,12510
Alpine,2021-03-01,33
Amador,2021-03-01,183
Butte,2021-03-01,1131
Calaveras,2021-03-01,184
Colusa,2021-03-01,43
Contra Costa,2021-03-01,7389
Del Norte,2021-03-01,26
El Dorado,2021-03-01,1006
Fresno,2021-03-01,4459
Glenn,2021-03-01,27
Humboldt,2021-03-01,233
Imperial,2021-03-01,510
Inyo,2021-03-01,23
Kern,2021-03-01,3576
Kings,2021-03-01,241
Lake,2021-03-01,570
Lassen,2021-03-01,36
Los Angeles,2021-03-01,51894
Madera,2021-03-01,355
Marin,2021-03-01,2246
Mariposa,2021-03-01,56
Mendocino,2021-03-01,562
Merced,2021-03-01,1112
Modoc,2021-03-01,4
Monterey,2021-03-01,1225
